Query Number	Algorithm	Coverage %	Query Time Passed
1	evosql	3.7	1056
1	evosql	7.41	4014
1	evosql	11.11	5587
1	evosql	14.81	8961
1	evosql	18.52	10681
1	evosql	22.22	13096
1	evosql	25.93	13153
1	evosql	29.63	16051
1	evosql	33.33	19625
1	evosql	37.04	19677
1	evosql	40.74	22290
1	evosql	44.44	28868
1	evosql	48.15	28928
1	evosql	51.85	30804
1	evosql	55.56	30866
1	evosql	59.26	32014
1	evosql	62.96	353790
1	evosql	66.67	353848
1	evosql	70.37	550410
1	evosql	74.07	553289
1	evosql	77.78	1057980
1	evosql	81.48	1058040
1	evosql	85.19	1305884
2	evosql	5.56	358
2	evosql	11.11	544
2	evosql	16.67	1010
2	evosql	22.22	1374
2	evosql	27.78	1552
2	evosql	33.33	1586
2	evosql	38.89	1892
2	evosql	44.44	2369
2	evosql	50	2400
2	evosql	55.56	2476
2	evosql	61.11	3312
2	evosql	66.67	3347
2	evosql	72.22	3571
2	evosql	77.78	3905
2	evosql	83.33	3938
2	evosql	88.89	3965
2	evosql	94.44	4001
2	evosql	100	4767
3	evosql	3.57	3226
3	evosql	7.14	5521
3	evosql	10.71	7415
3	evosql	14.29	8653
3	evosql	17.86	10441
3	evosql	21.43	13386
3	evosql	25	16142
3	evosql	28.57	16200
3	evosql	32.14	20006
3	evosql	35.71	24269
3	evosql	39.29	24329
3	evosql	42.86	27373
3	evosql	46.43	32310
3	evosql	50	32366
3	evosql	53.57	33449
3	evosql	57.14	33503
3	evosql	60.71	36140
3	evosql	64.29	38612
3	evosql	67.86	46761
3	evosql	71.43	46948
3	evosql	75	47006
3	evosql	78.57	49387
3	evosql	82.14	49456
3	evosql	85.71	53455
3	evosql	89.29	55765
3	evosql	92.86	58879
3	evosql	96.43	58936
3	evosql	100	58997
4	evosql	20	6
4	evosql	40	11
4	evosql	60	15
4	evosql	80	20
4	evosql	100	24
5	evosql	25	6
5	evosql	50	12
5	evosql	75	17
5	evosql	100	22
6	evosql	16.67	10
6	evosql	33.33	22
6	evosql	50	44
6	evosql	66.67	60
6	evosql	83.33	75
6	evosql	100	146
7	evosql	25	6
7	evosql	50	11
7	evosql	75	16
7	evosql	100	23
8	evosql	16.67	11
8	evosql	33.33	21
8	evosql	50	41
8	evosql	66.67	101
8	evosql	83.33	116
8	evosql	100	139
9	evosql	14.29	9
9	evosql	28.57	21
9	evosql	42.86	31
9	evosql	57.14	42
9	evosql	71.43	48
9	evosql	85.71	55
9	evosql	100	66
10	evosql	16.67	15
10	evosql	33.33	48
10	evosql	50	77
10	evosql	66.67	101
10	evosql	83.33	117
10	evosql	100	181
11	evosql	20	6
11	evosql	40	11
11	evosql	60	20
11	evosql	80	25
11	evosql	100	30
12	evosql	20	5
12	evosql	40	10
12	evosql	60	15
12	evosql	80	19
12	evosql	100	23
13	evosql	20	8
13	evosql	40	17
13	evosql	60	24
13	evosql	80	32
13	evosql	100	39
14	evosql	25	5
14	evosql	50	10
14	evosql	75	15
14	evosql	100	20
15	evosql	6.25	113
15	evosql	12.5	173
15	evosql	18.75	343
15	evosql	25	435
15	evosql	31.25	519
15	evosql	37.5	648
15	evosql	43.75	673
15	evosql	50	908
15	evosql	56.25	3155
15	evosql	62.5	3180
15	evosql	68.75	3204
15	evosql	75	3440
15	evosql	81.25	3466
15	evosql	87.5	3691
15	evosql	93.75	4815
15	evosql	100	4839
16	evosql	2.33	3756
16	evosql	4.65	7680
16	evosql	6.98	9813
16	evosql	9.3	14547
16	evosql	11.63	17372
16	evosql	13.95	21163
16	evosql	16.28	23180
16	evosql	18.6	26708
16	evosql	20.93	29563
16	evosql	23.26	29615
16	evosql	25.58	32689
16	evosql	27.91	37041
16	evosql	30.23	37250
16	evosql	32.56	39403
16	evosql	34.88	40672
16	evosql	37.21	40730
16	evosql	39.53	42505
16	evosql	41.86	42673
16	evosql	44.19	44451
16	evosql	46.51	49235
16	evosql	48.84	67241
16	evosql	51.16	67302
16	evosql	53.49	67462
16	evosql	55.81	69734
16	evosql	58.14	69803
16	evosql	60.47	73584
16	evosql	62.79	77085
16	evosql	65.12	80618
16	evosql	67.44	80685
16	evosql	69.77	80748
16	evosql	72.09	81183
16	evosql	74.42	83324
16	evosql	76.74	86300
16	evosql	79.07	86474
16	evosql	81.4	87938
16	evosql	83.72	89874
16	evosql	86.05	91346
16	evosql	88.37	91465
16	evosql	90.7	92884
16	evosql	93.02	93973
16	evosql	95.35	94485
16	evosql	97.67	94798
16	evosql	100	95051
17	evosql	20	6
17	evosql	40	11
17	evosql	60	17
17	evosql	80	22
17	evosql	100	27
18	evosql	3.13	1153
18	evosql	6.25	5636
18	evosql	9.38	8576
18	evosql	12.5	14377
18	evosql	15.63	18424
18	evosql	18.75	20623
18	evosql	21.88	22518
18	evosql	25	22583
18	evosql	28.13	23489
18	evosql	31.25	28055
18	evosql	34.38	28119
18	evosql	37.5	38010
18	evosql	40.63	41364
18	evosql	43.75	41429
18	evosql	46.88	44661
18	evosql	50	44725
18	evosql	53.13	47147
18	evosql	56.25	63821
18	evosql	59.38	73351
18	evosql	62.5	73422
18	evosql	65.63	73600
18	evosql	68.75	78977
18	evosql	71.88	79043
18	evosql	75	85354
18	evosql	78.13	88688
18	evosql	81.25	98559
18	evosql	84.38	98632
18	evosql	87.5	98706
18	evosql	90.63	100708
18	evosql	93.75	104556
18	evosql	96.88	109547
18	evosql	100	115378
19	evosql	3.33	9803
19	evosql	6.67	16522
19	evosql	10	20996
19	evosql	13.33	27221
19	evosql	16.67	31208
19	evosql	20	36967
19	evosql	23.33	37099
19	evosql	26.67	43445
19	evosql	30	48898
19	evosql	33.33	48974
19	evosql	36.67	56366
19	evosql	40	67787
19	evosql	43.33	67851
19	evosql	46.67	75686
19	evosql	50	75749
19	evosql	53.33	77770
19	evosql	56.67	324443
19	evosql	60	324500
19	evosql	63.33	468328
19	evosql	66.67	474488
19	evosql	70	818002
19	evosql	73.33	818070
19	evosql	76.67	1032819
19	evosql	80	1033833
20	evosql	3.03	3277
20	evosql	6.06	11056
20	evosql	9.09	15776
20	evosql	12.12	20977
20	evosql	15.15	32133
20	evosql	18.18	32208
20	evosql	21.21	37002
20	evosql	24.24	47310
20	evosql	27.27	47381
20	evosql	30.3	51622
20	evosql	33.33	56781
20	evosql	36.36	56852
20	evosql	39.39	59379
20	evosql	42.42	59443
20	evosql	45.45	62891
20	evosql	48.48	70311
20	evosql	51.52	77824
20	evosql	54.55	78059
20	evosql	57.58	78126
20	evosql	60.61	79260
20	evosql	63.64	79357
20	evosql	66.67	86636
20	evosql	69.7	91747
20	evosql	72.73	94195
20	evosql	75.76	94381
20	evosql	78.79	94448
20	evosql	81.82	97706
20	evosql	84.85	97790
20	evosql	87.88	99126
20	evosql	90.91	107072
20	evosql	93.94	110936
20	evosql	96.97	119253
20	evosql	100	123987
21	evosql	6.25	45
21	evosql	12.5	69
21	evosql	18.75	137
21	evosql	25	188
21	evosql	31.25	414
21	evosql	37.5	480
21	evosql	43.75	508
21	evosql	50	633
21	evosql	56.25	984
21	evosql	62.5	1012
21	evosql	68.75	1173
21	evosql	75	1816
21	evosql	81.25	1849
21	evosql	87.5	1917
21	evosql	93.75	2791
21	evosql	100	2818
22	evosql	16.67	21
22	evosql	33.33	61
22	evosql	50	110
22	evosql	66.67	131
22	evosql	83.33	151
22	evosql	100	358
23	evosql	33.33	4
23	evosql	66.67	8
23	evosql	100	11
24	evosql	9.09	27
24	evosql	18.18	46
24	evosql	27.27	88
24	evosql	36.36	144
24	evosql	45.45	194
24	evosql	54.55	216
24	evosql	63.64	489
24	evosql	72.73	513
24	evosql	81.82	541
24	evosql	90.91	577
24	evosql	100	596
25	evosql	33.33	9
25	evosql	66.67	16
25	evosql	100	21
26	evosql	2.94	6766
26	evosql	5.88	9293
26	evosql	8.82	13443
26	evosql	11.76	25087
26	evosql	14.71	32471
26	evosql	17.65	39356
26	evosql	20.59	42537
26	evosql	23.53	45638
26	evosql	26.47	56864
26	evosql	29.41	57035
26	evosql	32.35	61974
26	evosql	35.29	66063
26	evosql	38.24	66137
26	evosql	41.18	71706
26	evosql	44.12	99027
26	evosql	47.06	99286
26	evosql	50	101372
26	evosql	52.94	101440
26	evosql	55.88	103376
26	evosql	58.82	108849
26	evosql	61.76	117322
26	evosql	64.71	117400
26	evosql	67.65	117627
26	evosql	70.59	121373
26	evosql	73.53	121444
26	evosql	76.47	122458
26	evosql	79.41	138288
26	evosql	82.35	151154
26	evosql	85.29	151227
26	evosql	88.24	151422
26	evosql	91.18	157056
26	evosql	94.12	163902
26	evosql	97.06	167927
26	evosql	100	177056
27	evosql	3.03	2840
27	evosql	6.06	5708
27	evosql	9.09	15903
