Query Number	Algorithm	Path Number	Success Y/N	Runtime	Generations	Number Individual	Message	Exceptions
1	evosql	1	1	298	0	50		
1	evosql	2	1	195	0	50		
1	evosql	3	1	51	0	50		
2	evosql	1	1	42	0	50		
2	evosql	2	1	30	0	50		
3	evosql	1	1	83	0	50		
3	evosql	2	1	88	0	50		
3	evosql	3	1	66	0	50		
3	evosql	4	1	51	0	50		
3	evosql	5	1	48	0	50		
3	evosql	6	1	45	0	50		
4	evosql	1	1	30	0	50		
4	evosql	2	1	34	0	50		
5	evosql	1	1	45	0	50		
5	evosql	2	1	78	0	50		
6	evosql	1	1	23	0	50		
6	evosql	2	1	18	0	50		
7	evosql	1	1	46	0	50		
8	evosql	1	1	27	0	50		
8	evosql	2	1	39	0	50		
9	evosql	1	1	5374	79	3960		
9	evosql	2	1	1604	30	1520		
9	evosql	3	1	2860	44	2225		
9	evosql	4	1	59	1	99		
9	evosql	5	1	83	2	146		
9	evosql	6	1	3265	52	2622		
9	evosql	7	1	2507	46	2316		
9	evosql	8	1	253	8	428		
9	evosql	9	1	1316	22	1134		
9	evosql	10	1	3389	53	2665		
9	evosql	11	1	4477	78	3915		
9	evosql	12	1	1064	22	1132		
9	evosql	13	1	3049	50	2522		
9	evosql	14	1	1923	35	1783		
9	evosql	15	1	1120	21	1093		
9	evosql	16	1	5860	109	5442		
9	evosql	17	1	3115	52	2629		
9	evosql	18	1	3829	72	3610		
9	evosql	19	1	8313	142	7084		
9	evosql	20	1	6784	120	5962		
9	evosql	21	1	3447	54	2706		
9	evosql	22	1	2243	46	2308		
9	evosql	23	1	995	21	1083		
10	evosql	1	1	11	0	50		
10	evosql	2	1	9	0	50		
10	evosql	3	1	29	2	150		
10	evosql	4	1	9	0	50		
10	evosql	5	1	17	1	94		
10	evosql	6	1	11	0	50		
10	evosql	7	1	31	2	146		
11	evosql	1	1	9	0	50		
11	evosql	2	1	8	0	50		
11	evosql	3	1	9	0	50		
11	evosql	4	1	9	0	50		
11	evosql	5	1	8	0	50		
12	evosql	1	1	24	0	50		
12	evosql	2	1	13	0	50		
12	evosql	3	1	12	0	50		
13	evosql	1	1	12	0	50		
13	evosql	2	1	50	0	50		
14	evosql	1	1	16	0	50		
14	evosql	2	1	11	0	50		
14	evosql	3	1	10	0	50		
14	evosql	4	1	17	0	50		
14	evosql	5	1	15	0	50		
15	evosql	1	1	9	0	50		
15	evosql	2	1	8	0	50		
17	evosql	1	1	10	0	50		
17	evosql	2	1	8	0	50		
18	evosql	1	1	231	4	249		
18	evosql	2	1	29	0	50		
18	evosql	3	1	62	2	148		
18	evosql	4	1	69	2	149		
18	evosql	5	1	172	5	294		
18	evosql	6	1	255	4	245		
18	evosql	7	1	39	1	100		
18	evosql	8	1	393	9	492		
19	evosql	1	1	13	0	50		
19	evosql	2	1	10	0	50		
20	evosql	1	1	62	0	50		
20	evosql	2	1	58	0	50		
20	evosql	3	1	299	1	96		
20	evosql	4	1	53	0	50		
20	evosql	5	1	49	0	50		
20	evosql	6	1	61	0	50		
20	evosql	7	1	75	0	50		
20	evosql	8	1	319	0	50		
20	evosql	9	1	55	0	50		
21	evosql	1	1	20	0	50		
21	evosql	2	1	17	0	50		
22	evosql	1	1	18	0	50		
22	evosql	2	1	15	0	50		
22	evosql	3	1	18	0	50		
23	evosql	1	1	11	0	50		
23	evosql	2	1	8	0	50		
23	evosql	3	1	8	0	50		
23	evosql	4	1	8	0	50		
23	evosql	5	1	8	0	50		
24	evosql	1	1	10	0	50		
24	evosql	2	1	11	0	50		
25	evosql	1	1	28	0	50		
25	evosql	2	1	30	0	50		
26	evosql	1	1	294	0	50		
26	evosql	2	1	21	0	50		
26	evosql	3	1	14	0	50		
26	evosql	4	1	13	0	50		
26	evosql	5	1	12	0	50		
27	evosql	1	1	21	0	50		
27	evosql	2	1	17	0	50		
28	evosql	1	1	16	0	50		
28	evosql	2	1	9	0	50		
28	evosql	3	1	7	0	50		
29	evosql	1	1	29	0	50		
29	evosql	2	1	17	0	50		
29	evosql	3	1	15	0	50		
30	evosql	1	1	51	0	50		
30	evosql	2	1	25	0	50		
31	evosql	1	1	17	0	50		
31	evosql	2	1	16	0	50		
31	evosql	3	1	39	1	97		
31	evosql	4	1	14	0	50		
31	evosql	5	1	11	0	50		
31	evosql	6	1	17	0	50		
31	evosql	7	1	13	0	50		
31	evosql	8	1	11	0	50		
31	evosql	9	1	92	3	195		
32	evosql	1	1	18	0	50		
32	evosql	2	1	13	0	50		
32	evosql	3	1	10	0	50		
32	evosql	4	1	12	0	50		
32	evosql	5	1	10	0	50		
33	evosql	1	1	207	0	50		
33	evosql	2	1	36106	224	10414		
33	evosql	3	1	108	0	50		
33	evosql	4	1	108059	661	30548		
33	evosql	5	1	102	0	50		
33	evosql	6	1	376	2	144		
33	evosql	7	1	113	0	50		
33	evosql	8	1	967	8	422		
33	evosql	9	1	107	0	50		
33	evosql	10	1	193	1	97		
33	evosql	11	1	123	0	50		
33	evosql	12	1	157	0	50		
33	evosql	13	1	579	5	271		
33	evosql	14	1	307	2	142		
33	evosql	15	1	190	0	50		
33	evosql	16	1	101	0	50		
33	evosql	17	1	467	3	186		
33	evosql	18	1	116	0	50		
33	evosql	19	1	115	0	50		
33	evosql	20	1	243	0	50		
33	evosql	21	1	105	0	50		
33	evosql	22	1	127	0	50		
33	evosql	23	1	1283	8	424		
33	evosql	24	1	121	0	50		
33	evosql	25	1	922	5	281		
33	evosql	26	1	129766	770	35706		
33	evosql	27	1	1891	12	606		
33	evosql	28	1	121	0	50		
33	evosql	29	1	293	1	92		
33	evosql	30	1	118	0	50		
33	evosql	31	1	194952	1223	56608		
33	evosql	32	1	145	0	50		
33	evosql	33	1	297	2	142		
33	evosql	34	1	75159	456	21194		
33	evosql	35	1	346832	2334	107883		
33	evosql	36	1	77720	719	33185		
33	evosql	37	1	65651	448	20751		
33	evosql	38	1	459	3	192		
33	evosql	39	1	109	0	50		
33	evosql	40	1	947	5	272		
33	evosql	41	1	148	0	50		
33	evosql	42	1	2146	19	947		
34	evosql	1	1	15	0	50		
34	evosql	2	1	10	0	50		
34	evosql	3	1	8	0	50		
34	evosql	4	1	7	0	50		
34	evosql	5	1	7	0	50		
35	evosql	1	1	10	0	50		
35	evosql	2	1	9	0	50		
35	evosql	3	1	16	1	97		
35	evosql	4	1	8	0	50		
35	evosql	5	1	25	2	147		
35	evosql	6	1	18	1	99		
35	evosql	7	1	39	3	196		
36	evosql	1	1	22	0	50		
36	evosql	2	1	17	0	50		
36	evosql	3	1	19	0	50		
37	evosql	1	1	174	4	241		
37	evosql	2	1	223	5	296		
37	evosql	3	1	498	7	380		
37	evosql	4	1	50	1	97		
37	evosql	5	1	201	0	50		
37	evosql	6	1	180	4	242		
37	evosql	7	1	297	4	250		
37	evosql	8	1	58	1	99		
37	evosql	9	1	95	2	147		
37	evosql	10	1	755	6	339		
37	evosql	11	1	162	4	240		
37	evosql	12	1	589	9	495		
37	evosql	13	1	353	4	242		
37	evosql	14	1	478	7	393		
37	evosql	15	1	150	3	196		
37	evosql	16	1	413	6	347		
37	evosql	17	1	92	2	148		
38	evosql	1	1	23	0	50		
38	evosql	2	1	20	0	50		
39	evosql	1	1	11	0	50		
39	evosql	2	1	11	0	50		
39	evosql	3	1	11	0	50		
39	evosql	4	1	10	0	50		
39	evosql	5	1	11	0	50		
39	evosql	6	1	12	0	50		
40	evosql	1	1	15	0	50		
40	evosql	2	1	14	0	50		
40	evosql	3	1	13	0	50		
40	evosql	4	1	14	0	50		
40	evosql	5	1	151	4	247		
40	evosql	6	1	47	1	100		
40	evosql	7	1	69	2	145		
41	evosql	1	1	23	0	50		
41	evosql	2	1	14	0	50		
41	evosql	3	1	14	0	50		
41	evosql	4	1	13	0	50		
41	evosql	5	1	14	0	50		
41	evosql	6	1	13	0	50		
41	evosql	7	1	39	1	95		
41	evosql	8	1	13	0	50		
41	evosql	9	1	13	0	50		
42	evosql	1	1	36	0	50		
42	evosql	2	1	29	0	50		
43	evosql	1	1	19	0	50		
43	evosql	2	1	17	0	50		
44	evosql	1	1	10	0	50		
44	evosql	2	1	10	0	50		
44	evosql	3	1	14	0	50		
44	evosql	4	1	11	0	50		
44	evosql	5	1	12	0	50		
45	evosql	1	1	20	0	50		
45	evosql	2	1	17	0	50		
46	evosql	1	1	27	0	50		
